Phase,Comparison,Test,Group,N,N_events,Statistic,p_value,FDR_WithinPhase,Significant,Effect_Size
Phase 2,Race distribution (White proportion),Binomial,Atypical Teratoid Rhabdoid Tumor,110,78,70.9%W,0.001088,0.003403487179487179,**,-12.68
Phase 2,Race distribution (White proportion),Binomial,Choroid plexus tumor,76,70,92.1%W,0.043773,0.09709647272727273,*,8.51
Phase 2,Race distribution (White proportion),Binomial,Ewing sarcoma,39,39,100.0%W,0.001721,0.005121024390243903,**,16.41
Phase 2,Race distribution (White proportion),Binomial,Meningioma,74,48,64.9%W,9.9e-05,0.0003552352941176471,***,-18.73
Phase 2,Race distribution (White proportion),Binomial,Neurofibroma/Plexiform,40,28,70.0%W,0.030179,0.06946864150943396,*,-13.59
Phase 3,AGE × CANCER_GROUP,Kruskal-Wallis,global,4231,4231,820.3866,0.0,0.0,***,0.1986
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,High-grade glioma,4231,475,1111654.0,0.0,0.0,***,-0.2462
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Ependymoma,4231,340,513419.0,0.0,0.0,***,0.2238
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Atypical Teratoid Rhabdoid Tumor,4231,152,94852.0,0.0,0.0,***,0.694
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Meningioma,4231,100,274542.5,0.0,0.0,***,-0.3292
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Choroid plexus tumor,4231,99,107116.5,0.0,0.0,***,0.4763
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Dysembryoplastic neuroepithelial tumor,4231,73,184756.5,0.001408,0.0047137391304347825,**,-0.2174
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Oligodendroglioma,4231,70,276069.0,0.0,0.0,***,-0.8956
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Glial-neuronal tumor NOS,4231,69,167605.0,0.016863,0.04637325,*,-0.1673
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Schwannoma,4231,68,205337.0,0.0,0.0,***,-0.4507
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Sarcoma,4231,49,84217.0,0.031651,0.07616021875,*,0.178
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Neurofibroma/Plexiform,4231,48,134340.0,5.3e-05,0.00021478947368421054,***,-0.3382
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Diffuse hemispheric glioma,4231,33,114884.0,0.0,0.0,***,-0.6586
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Chordoma,4231,29,47229.5,0.036385,0.08004700000000001,*,0.2248
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,CNS Embryonal tumor,4231,29,47315.5,0.037575,0.08036875,*,0.2234
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Pilocytic astrocytoma,4231,24,38700.0,0.047991,0.09987316216216216,*,0.2334
Phase 3,AGE × CANCER_GROUP,Mann-Whitney,Embryonal tumor with multilayer rosettes,4231,23,15893.5,0.0,0.0,***,0.6716
